,Symbol,Expiry Date,Commodity,Ex-Basis Delivery Centre,Price Unit,Previous Closing Price,Opening Price,High Price,Low Price,Closing Price,Quantity Traded Today,Measure,No of Trades,Traded Value in Lacs,Open Interest,LastTradedDate,Unnamed: 16,Date
0,DHAANYA,2018-12-03 00:00:00,NCDEX FUTURE INDEX,,,3384.58,3381.89,3411.09,3381.2,3394.75,,,,,,,,2018-12-03 00:00:00
1,BARLEYJPR,2018-12-20 00:00:00,BARLEY,JAIPUR,RS/QUINTAL,1823,1812,1816,1812,1814,20,MT,2,3.63,1960,12/3/2018,,2018-12-03 00:00:00
2,BARLEYJPR,2019-01-18 00:00:00,BARLEY,JAIPUR,RS/QUINTAL,1895,0,0,0,1895,0,MT,0,0,450,11/30/2018,,2018-12-03 00:00:00
3,BARLEYJPR,2019-04-16 00:00:00,BARLEY,JAIPUR,RS/QUINTAL,1550,0,0,0,1550,0,MT,0,0,0,NOTRADE,,2018-12-03 00:00:00
4,BARLEYJPR,2019-05-20 00:00:00,BARLEY,JAIPUR,RS/QUINTAL,1550,0,0,0,1550,0,MT,0,0,0,NOTRADE,,2018-12-03 00:00:00
5,BARLEYJPR,2019-06-20 00:00:00,BARLEY,JAIPUR,RS/QUINTAL,1550,0,0,0,1550,0,MT,0,0,0,NOTRADE,,2018-12-03 00:00:00
6,CASTOR,2018-12-20 00:00:00,CASTORSEEDNEW,DEESA,Rs/Quintal,5348,5392,5560,5392,5560,41270,MT,4258,22657.21,45180,12/3/2018,,2018-12-03 00:00:00
7,CASTOR,2019-01-18 00:00:00,CASTORSEEDNEW,DEESA,Rs/Quintal,5438,5480,5644,5480,5622,43660,MT,4506,24312.6,120510,12/3/2018,,2018-12-03 00:00:00
8,CASTOR,2019-02-20 00:00:00,CASTORSEEDNEW,DEESA,Rs/Quintal,5502,5594,5714,5572,5708,3130,MT,478,1771.12,19810,12/3/2018,,2018-12-03 00:00:00
9,CASTOR,2019-03-19 00:00:00,CASTORSEEDNEW,DEESA,Rs/Quintal,5550,5638,5772,5638,5772,560,MT,99,321.68,2675,12/3/2018,,2018-12-03 00:00:00
10,CASTOR,2019-04-16 00:00:00,CASTORSEEDNEW,DEESA,Rs/Quintal,5550,0,0,0,5772,0,MT,0,0,0,NOTRADE,,2018-12-03 00:00:00
11,CHANA,2018-12-20 00:00:00,CHANA,BIKANER,RS/QUINTAL,4706,4733,4755,4628,4647,32150,MT,2516,15046.12,20470,12/3/2018,,2018-12-03 00:00:00
12,CHANA,2019-01-18 00:00:00,CHANA,BIKANER,RS/QUINTAL,4704,4749,4749,4635,4660,18370,MT,1473,8602.92,20620,12/3/2018,,2018-12-03 00:00:00
13,CHANA,2019-03-19 00:00:00,CHANA,BIKANER,RS/QUINTAL,4654,4651,4702,4607,4637,2340,MT,206,1089.35,5890,12/3/2018,,2018-12-03 00:00:00
14,CHANA,2019-04-16 00:00:00,CHANA,BIKANER,RS/QUINTAL,4648,4660,4685,4652,4660,100,MT,10,46.6,360,12/3/2018,,2018-12-03 00:00:00
15,CHANA,2019-05-20 00:00:00,CHANA,BIKANER,RS/QUINTAL,4648,0,0,0,4683,0,MT,0,0,0,NOTRADE,,2018-12-03 00:00:00
16,COCUDAKL,2018-12-20 00:00:00,COTTONSEEDOILCAKEAKOLA,AKOLA,RS/QUINTAL,1907,1915,1933,1900,1910,30890,MT,2115,5933.68,24240,12/3/2018,,2018-12-03 00:00:00
17,COCUDAKL,2019-01-18 00:00:00,COTTONSEEDOILCAKEAKOLA,AKOLA,RS/QUINTAL,1919,1938,1947.5,1910.5,1923.5,25620,MT,1837,4953.6,28390,12/3/2018,,2018-12-03 00:00:00
18,COCUDAKL,2019-02-20 00:00:00,COTTONSEEDOILCAKEAKOLA,AKOLA,RS/QUINTAL,1940.5,1955,1969,1936,1949,1510,MT,146,295.44,4650,12/3/2018,,2018-12-03 00:00:00
