Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,200,150,20-Sep-22
2,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,500,400,20-Feb-23
3,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,600,500,21-Jul-22
4,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,17-Oct-22
5,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,19-Oct-22
6,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,25-Mar-24
7,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,01-Apr-23
8,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,30-May-22
9,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,500,25-May-22
10,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,1000,800,06-Mar-24
11,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,02-Jun-23
12,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,01-Jul-23
13,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,26-Jun-23
14,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,28-Jun-23
15,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,750,18-Apr-22
16,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,15-Jun-22
17,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,16-Nov-22
18,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,24-May-24
19,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,13-Dec-22
20,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,17-Jun-23
